_unit_id;_created_at;_id;_started_at;_tainted;_channel;_trust;_worker_id;_country;_region;_city;_ip;age;aggressive2;aggressive3;aggressive4;aggressive5;aggressive6;aggressive7;aggressive8;arrogant2;arrogant3;arrogant4;arrogant5;arrogant6;arrogant7;arrogant8;assertive2;assertive3;assertive4;assertive5;assertive6;assertive7;assertive8;blond2;blond3;blond4;blond5;blond6;blond7;blond8;cheerful2;cheerful3;cheerful4;cheerful5;cheerful6;cheerful7;cheerful8;compete2;compete3;compete4;compete5;compete6;compete7;compete8;cooperative2;cooperative3;cooperative4;cooperative5;cooperative6;cooperative7;cooperative8;defiant2;defiant3;defiant4;defiant5;defiant6;defiant7;defiant8;depend2;depend3;depend4;depend5;depend6;depend7;depend8;distant2;distant3;distant4;distant5;distant6;distant7;distant8;dominant2;dominant3;dominant4;dominant5;dominant6;dominant7;dominant8;education;forceful2;forceful3;forceful4;forceful5;forceful6;forceful7;forceful8;friendly2;friendly3;friendly4;friendly5;friendly6;friendly7;friendly8;gender;helpful2;helpful3;helpful4;helpful5;helpful6;helpful7;helpful8;hostile2;hostile3;hostile4;hostile5;hostile6;hostile7;hostile8;language;leaderlike2;leaderlike3;leaderlike4;leaderlike5;leaderlike6;leaderlike7;leaderlike8;nationality;natural2;natural3;natural4;natural5;natural6;natural7;natural8;show_extra1;submissive2;submissive3;submissive4;submissive5;submissive6;submissive7;submissive8;timid2;timid3;timid4;timid5;timid6;timid7;timid8;unauthoritative2;unauthoritative3;unauthoritative4;unauthoritative5;unauthoritative6;unauthoritative7;unauthoritative8;warm2;warm3;warm4;warm5;warm6;warm7;warm8;withdrawn2;withdrawn3;withdrawn4;withdrawn5;withdrawn6;withdrawn7;withdrawn8
1308050390;7/22/2017 00:03:06;2715866099;7/21/2017 23:55:23;false;clixsense;1.0;40507163;FRA;B5;Nantes;88.185.219.186;31-40;4;4;3;4;3;3;3;4;3;3;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;4;4;3;3;3;3;4;3;3;2;3;3;3;3;3;4;4;4;4;4;3;3;3;3;3;3;3;3;3;4;4;4;3;3;3;3;4;4;4;4;4;4;3;Master leve;4;4;4;3;4;3;3;2;2;2;2;2;2;3;Male;3;3;3;3;3;3;3;4;4;4;3;3;3;3;No;4;4;4;4;4;4;4;french;2;3;3;3;3;3;3;I have read and agree the conditions above.;2;3;3;2;3;2;3;2;3;3;3;3;3;3;2;2;2;2;2;2;3;2;2;2;3;3;2;3;3;3;3;3;3;3;3
1308050390;7/22/2017 01:07:02;2715911712;7/22/2017 01:02:35;false;tremorgames;1.0;17698648;ESP;34;Mieres;85.152.168.70;31-40;2;4;2;3;3;4;2;3;2;3;3;3;2;3;4;3;4;3;3;3;4;3;3;3;3;4;3;3;3;4;3;2;2;4;3;3;3;3;4;4;3;3;3;3;3;3;3;4;3;2;3;2;4;3;3;3;3;3;3;3;3;2;4;4;2;4;3;2;3;3;3;3;3;4;3;4;3;Master leve;3;5;3;3;3;4;4;3;2;2;3;4;3;2;Male;2;3;2;2;2;4;3;4;3;3;4;2;3;2;No;4;2;3;3;3;3;4;Spanish;3;3;3;3;3;3;2;I have read and agree the conditions above.;3;2;3;3;4;2;3;3;3;3;2;3;2;3;2;4;2;3;2;2;2;4;2;3;3;3;4;3;3;4;4;2;3;3;3
1308052598;7/22/2017 00:22:31;2715879618;7/22/2017 00:15:06;false;tremorgames;1.0;31824046;FRA;B6;Margny-lÇùs-compiÇùgne;86.208.220.87;18-20;3;5;4;3;3;3;3;3;4;4;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;2;4;3;4;3;3;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;Undergraduate level;3;4;4;3;3;3;3;3;2;2;3;3;3;4;Male;2;2;2;3;3;2;4;3;4;3;3;3;3;2;No;3;4;4;3;3;4;4;French;3;2;2;4;3;4;4;I have read and agree the conditions above.;3;3;3;3;3;3;4;3;2;3;3;3;2;3;3;2;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3
1308052598;7/22/2017 00:58:55;2715905337;7/22/2017 00:47:18;false;neodev;1.0;20505909;ESP;59;Donostia-san SebastiÇ­n;176.86.25.153;31-40;4;4;3;2;3;3;3;4;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;4;3;2;3;3;4;3;3;3;3;3;3;3;3;3;3;2;3;2;3;4;4;4;3;3;4;3;Master leve;4;4;3;2;3;3;2;2;2;3;4;3;3;3;Male;3;3;3;3;3;3;3;3;4;3;2;4;3;3;No;4;3;4;3;4;4;4;Spanish;2;2;3;4;3;2;3;I have read and agree the conditions above.;3;3;3;3;3;3;3;2;2;2;3;2;2;2;3;3;3;3;3;3;3;2;3;3;4;3;3;3;3;3;3;3;3;3;3
1308052668;7/22/2017 00:26:27;2715882241;7/22/2017 00:18:36;false;tremorgames;1.0;17698648;ESP;34;Mieres;85.152.168.70;31-40;3;4;3;3;3;4;4;3;4;2;3;3;3;4;2;2;4;2;4;3;4;3;3;3;3;3;3;3;3;4;2;3;3;3;3;3;3;4;3;2;2;4;3;3;4;4;4;4;2;3;3;3;4;4;4;4;2;3;3;3;3;3;3;2;4;4;2;3;2;4;4;3;3;3;4;3;4;Master leve;4;2;4;2;3;4;4;3;2;3;4;3;3;2;Male;3;3;3;3;3;3;3;3;3;3;3;3;2;3;No;4;2;3;3;4;2;3;Spanish;3;3;3;3;3;3;3;I have read and agree the conditions above.;3;2;2;2;2;3;2;3;3;3;2;4;3;2;4;2;4;4;3;2;2;3;3;3;2;2;3;3;2;3;4;2;2;3;3
1308052668;7/22/2017 04:27:33;2716108739;7/22/2017 04:14:12;false;neodev;1.0;11025210;DEU;2;NÇ¬rnberg;77.189.120.78;51-60;3;4;4;4;4;4;4;3;4;4;4;4;4;2;3;4;2;3;3;4;2;3;4;3;3;3;3;4;3;4;3;3;4;4;3;4;4;4;4;4;4;3;3;2;3;3;3;3;3;3;4;3;3;3;3;3;3;2;3;3;2;2;3;4;4;4;4;4;4;3;3;4;4;4;4;4;2;High school;4;4;4;4;4;4;4;4;2;2;2;2;2;2;Male;3;3;3;3;3;3;3;3;3;3;3;2;2;2;No;4;4;4;4;4;4;2;german;2;2;2;2;2;2;4;I have read and agree the conditions above.;3;3;3;3;3;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;4;2;2;2;2;2;2;3;3;3;2;3;3;2
1308052758;7/22/2017 00:27:56;2715883223;7/22/2017 00:22:55;false;tremorgames;1.0;31824046;FRA;B6;Margny-lÇùs-compiÇùgne;86.208.220.87;18-20;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;4;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;Undergraduate level;3;3;3;3;4;3;3;3;3;3;3;3;3;4;Male;2;4;3;3;3;3;4;3;3;3;3;4;3;3;No;3;4;4;4;4;3;4;French;3;4;2;4;3;2;2;I have read and agree the conditions above.;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
1308052758;7/22/2017 00:34:16;2715887473;7/22/2017 00:10:36;false;neodev;1.0;43637219;FRA;A8;Taverny;82.121.170.175;21-30;4;4;3;3;3;4;4;3;4;3;3;3;3;3;4;4;5;5;4;4;3;3;3;3;3;3;3;3;4;2;3;3;4;1;3;2;2;1;1;2;2;2;3;3;3;3;3;2;3;3;3;3;1;3;3;4;3;3;3;3;3;3;3;3;3;3;2;3;3;3;4;4;5;5;4;4;4;Master leve;4;4;3;3;4;3;3;2;2;2;3;3;2;2;Female;2;3;2;3;3;3;2;4;4;3;3;3;4;2;No;4;4;4;5;4;4;4;french;4;2;2;3;3;2;2;I have read and agree the conditions above.;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;3;2;2;3;3;1;2;3;3;3
1308052958;7/22/2017 00:32:15;2715886169;7/22/2017 00:26:43;false;tremorgames;1.0;17698648;ESP;34;Mieres;85.152.168.70;31-40;2;3;3;4;2;3;2;2;3;3;3;2;3;2;2;2;3;2;3;2;3;2;3;3;2;3;2;4;3;4;4;3;2;3;4;3;3;4;3;4;3;4;3;3;3;3;3;3;2;3;2;2;3;4;2;4;2;3;3;4;2;3;3;3;3;4;3;3;3;3;3;3;3;4;3;4;3;Master leve;4;2;3;3;4;4;4;4;3;2;4;3;3;2;Male;3;3;2;4;2;3;4;3;3;2;3;3;3;3;No;2;5;3;2;3;3;3;Spanish;3;3;3;3;4;3;3;I have read and agree the conditions above.;3;2;2;3;2;5;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;2;3;4;3;4;2;3;4;4;2;4;3;3
1308052958;7/22/2017 01:20:54;2715922961;7/22/2017 01:14:23;false;tremorgames;1.0;31824046;FRA;B6;Margny-lÇùs-compiÇùgne;86.208.220.87;18-20;3;3;3;3;4;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;3;3;Undergraduate level;3;3;3;4;3;3;3;3;3;3;3;3;3;3;Male;3;3;3;3;3;3;4;3;3;3;3;3;3;3;No;4;4;4;4;4;4;3;French;3;4;2;3;3;2;2;I have read and agree the conditions above.;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
1308053037;7/22/2017 00:39:17;2715890662;7/22/2017 00:34:42;false;tremorgames;1.0;17698648;ESP;34;Mieres;85.152.168.70;31-40;3;3;4;5;2;4;3;3;4;3;3;4;2;3;2;4;3;3;2;4;3;3;3;3;3;3;3;2;4;3;3;2;3;2;3;3;3;2;3;4;4;4;3;4;3;3;3;2;3;3;3;3;4;4;2;4;4;3;2;3;3;4;3;4;3;4;3;2;3;2;4;4;4;3;3;3;2;Master leve;2;3;2;4;3;3;3;2;3;3;2;3;3;3;Male;3;2;3;2;3;2;2;4;2;4;2;3;2;4;No;4;2;2;3;3;4;3;Spanish;3;2;3;3;3;3;3;I have read and agree the conditions above.;4;2;2;3;2;3;4;2;2;3;4;3;3;2;3;3;2;4;4;3;3;4;3;3;3;3;2;2;2;4;2;2;2;3;4
1308053037;7/22/2017 00:49:45;2715897548;7/22/2017 00:41:52;false;prodege;1.0;1905769;CAN;ON;Toronto;174.115.54.184;31-40;4;4;4;3;3;4;4;4;4;4;3;3;4;4;4;4;4;3;3;4;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;4;4;3;3;3;3;3;3;3;4;4;4;3;3;4;3;2;2;2;3;3;2;2;3;3;3;3;3;3;3;4;4;4;3;3;4;4;Undergraduate level;4;4;4;3;3;4;4;2;2;2;3;3;3;4;Male;3;3;3;3;3;3;3;4;4;4;3;3;4;4;Yes;4;4;4;3;3;4;4;CANADIAN;3;2;2;3;3;3;3;I have read and agree the conditions above.;3;3;2;3;3;3;2;2;2;2;3;3;2;2;2;2;2;3;3;2;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3
1308053150;7/25/2017 08:59:17;2719844908;7/25/2017 08:52:30;false;elite;1.0;43237330;ESP;;;89.141.169.222;21-30;3;4;2;2;3;2;2;3;4;3;3;3;3;2;3;4;3;3;4;4;3;3;3;3;3;3;3;3;3;2;4;4;2;3;4;2;4;2;3;4;4;3;3;3;4;3;2;3;4;3;4;3;3;4;3;2;3;2;2;3;3;3;2;3;4;2;3;4;2;2;3;4;3;3;4;3;2;Master leve;2;4;3;2;4;3;3;3;2;4;3;2;3;4;Male;3;2;4;4;3;4;4;3;4;2;2;4;3;3;No;2;4;3;4;4;4;3;Spaniard;2;4;4;4;3;4;4;I have read and agree the conditions above.;3;3;3;2;2;3;3;2;2;3;3;3;2;3;4;2;3;2;2;2;3;3;2;4;4;2;4;4;3;3;3;3;3;3;3
1308053150;7/25/2017 09:01:58;2719847154;7/25/2017 08:52:20;false;gifthunterclub;1.0;26854674;ESP;58;A CoruÇña;84.79.9.11;41-50;2;2;2;2;2;3;3;3;2;2;2;4;2;2;4;4;4;4;3;4;2;3;3;3;3;2;3;4;3;4;4;4;3;4;3;2;2;2;2;3;2;3;3;4;3;4;2;2;3;4;2;2;2;3;2;3;3;3;2;3;3;3;4;3;2;2;2;2;2;3;2;1;3;2;3;2;3;Undergraduate level;3;2;2;3;3;3;4;4;4;3;3;4;4;4;Female;4;4;3;4;3;4;3;3;2;2;2;3;2;3;No;4;4;4;4;2;4;3;spanis;4;5;4;4;4;4;3;I have read and agree the conditions above.;3;2;2;2;2;3;2;3;2;2;2;3;4;3;4;2;2;2;3;3;3;4;4;4;4;2;4;2;3;3;3;3;2;2;3
