_unit_id;_created_at;_id;_started_at;_tainted;_channel;_trust;_worker_id;_country;_region;_city;_ip;age;aggressiveref;aggressive1;aggressive2;aggressive3;aggressive4;aggressive5;aggressive6;aggressive7;aggressive8;aggressive9;arrogantref;arrogant1;arrogant2;arrogant3;arrogant4;arrogant5;arrogant6;arrogant7;arrogant8;arrogant9;assertiveref;assertive1;assertive2;assertive3;assertive4;assertive5;assertive6;assertive7;assertive8;assertive9;blond1;blond2;blond3;blond4;blond5;blond6;blond7;blond8;blond9;cheerfulref;cheerful1;cheerful2;cheerful3;cheerful4;cheerful5;cheerful6;cheerful7;cheerful8;cheerful9;competeref;compete1;compete2;compete3;compete4;compete5;compete6;compete7;compete8;compete9;cooperativeref;cooperative1;cooperative2;cooperative3;cooperative4;cooperative5;cooperative6;cooperative7;cooperative8;cooperative9;defiantref;defiant1;defiant2;defiant3;defiant4;defiant5;defiant6;defiant7;defiant8;defiant9;dependref;depend1;depend2;depend3;depend4;depend5;depend6;depend7;depend8;depend9;distantref;distant1;distant2;distant3;distant4;distant5;distant6;distant7;distant8;distant9;education;forcefulref;forceful1;forceful2;forceful3;forceful4;forceful5;forceful6;forceful7;forceful8;forceful9;gender;helpfulref;helpful1;helpful2;helpful3;helpful4;helpful5;helpful6;helpful7;helpful8;helpful9;language;leaderlikeref;leaderlike1;leaderlike2;leaderlike3;leaderlike4;leaderlike5;leaderlike6;leaderlike7;leaderlike8;leaderlike9;nationality;natural1;natural2;natural3;natural4;natural5;natural6;natural7;natural8;natural9;show_extra1;timidref;timid1;timid2;timid3;timid4;timid5;timid6;timid7;timid8;timid9;unauthoritativeref;unauthoritative1;unauthoritative2;unauthoritative3;unauthoritative4;unauthoritative5;unauthoritative6;unauthoritative7;unauthoritative8;unauthoritative9;warm1;warmref;warm2;warm3;warm4;warm5;warm6;warm7;warm8;warm9;withdrawnref;withdrawn1;withdrawn2;withdrawn3;withdrawn4;withdrawn5;withdrawn6;withdrawn7;withdrawn8;withdrawn9
1173501142;03/06/2017 15:29;2413684380;03/06/2017 15:21;false;elite;1.0;42306866;GBR;;;89.238.178.25;21-30;2.969884;3;3;4;4;2;2;4;3;3;2.969884;2;3;5;4;4;3;4;3;4;2.969884;3;4;4;2;3;2;3;3;3;4;4;4;2;3;3;2;3;3;2.969884;3;4;4;4;4;3;3;4;4;2.969884;4;5;3;2;3;4;4;4;4;2.969884;3;5;3;3;4;3;3;4;3;2.969884;4;2;5;3;5;4;3;3;3;2.969884;4;4;4;4;4;2;3;3;4;2.969884;4;3;4;4;4;3;4;4;3;Undergraduate level;2.969884;2;3;3;3;3;4;3;2;2;Male;2.969884;2;2;3;3;2;4;2;3;3;Yes;2.969884;4;4;5;2;4;2;2;3;2;united states;3;2;4;4;3;3;3;2;2;I have read and agree the conditions above.;2.969884;4;4;4;3;2;3;3;3;2;2.969884;3;4;4;3;4;2;4;4;4;4;2.969884;5;3;4;4;4;4;4;4;2.969884;4;4;3;2;3;2;4;3;3
1173501142;03/06/2017 16:02;2413702608;03/06/2017 15:52;false;tremorgames;1.0;27653179;DEU;7;;137.226.181.129;41-50;3.323867;1;1;3;1;1;1;1;1;1;3.323867;2;2;4;1;1;2;1;2;1;3.323867;3;4;3;2;4;3;1;5;5;5;5;5;5;5;5;5;5;5;3.323867;2;4;2;1;4;3;1;4;4;3.323867;2;1;4;1;1;1;1;1;1;3.323867;3;4;2;2;4;4;2;5;5;3.323867;2;2;4;4;3;4;4;2;1;3.323867;3;4;2;3;3;3;4;4;4;3.323867;4;3;4;4;3;4;5;2;2;Master leve;3.323867;2;2;2;1;1;1;1;1;1;Male;3.323867;3;4;2;2;4;3;1;4;4;No;3.323867;3;2;4;1;2;2;1;1;2;German;3;4;2;2;2;2;1;5;4;I have read and agree the conditions above.;3.323867;3;4;2;4;4;4;4;5;4;3.323867;3;4;2;4;4;3;4;4;4;2;3.323867;4;2;3;3;4;2;4;4;3.323867;4;2;4;5;2;3;5;1;2
1173519111;03/06/2017 15:48;2413694453;03/06/2017 15:39;false;instagc;1.0;41031946;CAN;ON;North York;99.226.26.91;41-50;3.193705;1;3;3;3;3;3;3;3;3;3.193705;1;3;3;3;3;3;3;3;3;3.193705;2;3;3;3;2;3;3;3;3;4;5;5;5;3;4;5;5;5;3.193705;1;3;3;3;2;3;2;3;3;3.193705;1;3;3;3;1;3;3;3;3;3.193705;2;3;3;3;3;3;3;3;3;3.193705;1;3;3;3;2;3;3;3;3;3.193705;1;3;3;3;3;3;3;3;3;3.193705;2;3;3;3;4;3;3;3;3;High school;3.193705;1;3;3;3;1;3;3;3;3;Male;3.193705;2;3;3;3;3;3;3;3;3;Yes;3.193705;2;3;3;3;2;4;3;3;3;Canada;2;1;2;1;1;2;1;2;2;I have read and agree the conditions above.;3.193705;1;3;3;3;3;3;3;3;3;3.193705;3;3;3;3;3;3;3;3;3;3;3.193705;3;3;3;3;3;3;3;3;3.193705;1;3;3;3;3;3;3;3;3
1173519111;03/06/2017 16:20;2413711220;03/06/2017 16:09;false;tremorgames;1.0;27653179;DEU;7;;137.226.181.129;41-50;3.312646;1;1;1;1;1;1;1;1;1;3.312646;2;1;1;3;1;1;1;1;1;3.312646;4;4;5;2;4;4;2;4;3;5;5;5;5;5;5;5;5;5;3.312646;3;4;3;2;5;4;3;3;3;3.312646;1;1;1;2;1;1;1;1;1;3.312646;4;4;4;2;5;4;3;4;3;3.312646;3;1;2;2;1;1;5;2;1;3.312646;3;2;3;2;3;3;4;4;2;3.312646;3;2;2;4;1;1;3;2;4;Master leve;3.312646;1;1;1;1;1;1;1;1;1;Male;3.312646;4;4;4;3;4;4;2;4;3;No;3.312646;2;2;1;3;2;2;1;2;2;German;4;5;5;4;4;4;3;5;4;I have read and agree the conditions above.;3.312646;4;4;4;2;3;4;5;4;2;3.312646;3;4;4;3;4;4;5;4;3;4;3.312646;4;4;3;4;4;3;3;3;3.312646;2;2;2;4;1;2;4;2;3
1173521406;03/06/2017 16:07;2413705180;03/06/2017 15:50;false;neodev;1.0;27779256;FRA;A1;Talant;90.56.82.182;41-50;3.094059;1;1;1;1;4;2;1;2;1;3.094059;1;1;1;1;4;1;1;1;1;3.094059;2;3;4;2;4;4;2;4;4;5;5;5;5;5;5;5;5;5;3.094059;2;2;2;1;2;4;2;2;4;3.094059;1;1;2;1;4;2;1;4;1;3.094059;4;3;4;3;2;4;2;3;4;3.094059;1;1;1;1;4;1;1;4;1;3.094059;1;1;1;3;3;3;3;1;1;3.094059;4;4;4;4;2;2;4;2;2;High school;3.094059;1;1;1;1;4;3;1;4;1;Male;3.094059;1;3;3;3;2;3;3;3;3;No;3.094059;1;1;2;1;4;2;2;4;1;francaise;5;4;4;4;4;4;4;4;4;I have read and agree the conditions above.;3.094059;1;1;1;5;1;2;4;1;1;3.094059;5;4;4;5;2;2;5;2;3;2;3.094059;3;2;2;1;4;1;1;4;3.094059;3;2;4;5;2;1;5;2;2
1173521406;03/06/2017 16:31;2413717251;03/06/2017 16:20;false;tremorgames;1.0;27653179;DEU;7;;137.226.181.129;41-50;2.959430;1;1;1;1;2;1;1;1;1;2.959430;2;1;3;1;3;1;1;1;1;2.959430;3;5;3;1;3;4;1;4;4;5;5;5;5;5;5;5;5;5;2.959430;3;4;2;2;3;4;2;3;3;2.959430;2;1;4;1;4;2;1;1;1;2.959430;3;5;2;2;2;4;3;4;4;2.959430;2;1;1;5;1;1;4;1;2;2.959430;2;4;1;5;2;2;4;3;4;2.959430;4;1;5;4;2;2;4;2;2;Master leve;2.959430;2;1;3;1;3;1;1;1;1;Male;2.959430;4;4;2;2;2;4;2;4;4;No;2.959430;2;1;4;1;4;3;1;2;2;German;4;5;5;4;4;4;4;5;5;I have read and agree the conditions above.;2.959430;3;4;1;4;3;2;3;4;3;2.959430;3;4;2;5;1;4;4;4;4;3;2.959430;5;2;3;2;4;3;4;4;2.959430;4;2;3;5;3;2;4;3;4
1173522585;03/06/2017 16:08;2413705460;03/06/2017 16:04;false;clixsense;1.0;41777292;ESP;54;Guadalajara;146.158.211.248;21-30;2.927506;3;3;3;3;3;3;4;3;3;2.927506;3;3;4;3;4;4;4;4;4;2.927506;3;4;3;4;3;4;4;3;4;5;5;5;5;5;5;5;5;5;2.927506;4;4;4;3;4;4;4;3;3;2.927506;3;4;4;4;4;3;4;3;3;2.927506;3;4;4;4;3;4;4;3;3;2.927506;3;4;4;4;4;3;4;3;3;2.927506;2;4;4;4;3;3;3;3;4;2.927506;3;3;3;3;4;4;3;4;3;Master leve;2.927506;4;4;4;3;4;4;4;4;4;Male;2.927506;4;4;3;3;3;3;3;3;4;No;2.927506;4;3;3;3;4;3;3;3;3;spain;4;3;3;4;4;3;4;4;4;I have read and agree the conditions above.;2.927506;3;3;4;3;3;4;4;4;3;2.927506;2;4;3;3;4;3;4;4;3;2;2.927506;4;3;3;4;4;3;4;3;2.927506;3;4;4;4;4;4;4;3;4
1173522585;03/06/2017 16:12;2413707351;03/06/2017 16:04;false;clixsense;1.0;41032163;ESP;55;LeÌ?n;79.145.228.252;21-30;3.449182;1;2;2;1;1;1;1;1;2;3.449182;1;2;1;1;1;1;1;1;2;3.449182;3;2;2;2;3;2;2;2;4;5;5;5;5;5;5;5;5;5;3.449182;3;1;2;1;1;2;1;2;4;3.449182;2;1;3;1;2;2;1;1;3;3.449182;2;2;2;1;1;2;2;2;4;3.449182;2;1;1;1;1;1;1;1;2;3.449182;3;3;3;3;3;3;3;3;3;3.449182;4;4;4;5;5;5;5;5;2;High school;3.449182;2;2;2;1;1;1;1;2;4;Male;3.449182;2;2;2;1;2;2;1;2;4;No;3.449182;2;2;2;2;1;2;1;2;4;Spanish;3;3;3;2;2;2;2;2;4;I have read and agree the conditions above.;3.449182;4;4;4;5;5;5;5;4;2;3.449182;4;4;4;5;4;5;5;4;2;1;3.449182;1;2;1;1;1;1;1;4;3.449182;3;3;3;2;2;3;3;3;3
1174542080;03/07/2017 09:42;2415042421;03/07/2017 09:37;false;clixsense;1.0;42100962;ESP;31;;155.54.213.67;21-30;2.987351;2;2;3;1;3;2;2;3;2;2.987351;2;1;3;2;2;3;2;2;2;2.987351;2;3;3;1;2;2;3;3;2;1;3;3;2;2;3;2;1;1;2.987351;2;2;3;2;2;2;2;2;2;2.987351;3;2;2;2;3;2;2;2;1;2.987351;2;3;3;2;2;3;3;3;1;2.987351;1;2;2;2;3;3;3;2;2;2.987351;2;2;2;2;3;3;2;1;1;2.987351;3;2;3;2;2;4;2;3;2;Doctorate level;2.987351;1;3;3;2;2;1;3;2;3;Male;2.987351;2;2;2;2;3;3;2;2;2;No;2.987351;2;2;2;3;2;3;3;1;2;Spanish;1;2;1;1;2;2;3;2;2;I have read and agree the conditions above.;2.987351;2;2;3;1;2;2;3;2;2;2.987351;2;2;2;3;2;2;2;2;2;2;2.987351;2;2;3;3;2;1;2;2;2.987351;2;3;2;2;3;3;2;2;2
1174542080;03/07/2017 09:46;2415049668;03/07/2017 09:39;false;clixsense;1.0;41915577;ESP;60;Valencia;84.126.49.112;21-30;3.135304;5;4;1;4;3;1;2;1;2;3.135304;3;1;1;3;4;1;2;1;3;3.135304;3;4;5;3;4;2;1;3;2;4;4;5;4;3;2;2;2;2;3.135304;2;4;5;4;4;2;1;3;3;3.135304;4;3;5;4;4;2;1;3;3;3.135304;2;3;5;2;4;3;1;3;2;3.135304;3;3;1;2;3;4;2;4;2;3.135304;4;3;1;3;4;3;1;4;3;3.135304;3;4;1;2;3;4;1;3;2;Master leve;3.135304;3;3;1;3;4;2;1;2;2;Male;3.135304;2;4;5;4;4;2;1;2;4;No;3.135304;2;4;5;3;4;2;1;3;2;Spanish;3;5;5;4;2;2;1;2;1;I have read and agree the conditions above.;3.135304;2;4;3;4;4;3;2;2;2;3.135304;2;4;1;3;3;2;1;2;3;4;3.135304;3;2;2;3;3;2;3;3;3.135304;4;3;1;2;4;4;1;3;2
1174554971;03/07/2017 10:01;2415082289;03/07/2017 09:56;false;clixsense;1.0;42100962;ESP;31;;155.54.213.67;21-30;2.611721;2;2;3;3;3;2;2;2;2;2.611721;1;4;4;2;2;3;3;2;3;2.611721;2;4;3;1;2;2;3;1;1;1;4;2;2;3;3;3;2;2;2.611721;2;3;3;3;2;2;3;2;1;2.611721;1;3;3;1;3;2;2;2;2;2.611721;2;3;3;2;3;2;3;2;3;2.611721;2;3;4;2;3;1;2;2;2;2.611721;2;2;3;3;3;2;3;2;3;2.611721;1;3;3;1;2;2;2;2;3;High school;2.611721;2;3;2;3;2;3;3;3;3;Male;2.611721;2;2;2;2;3;3;2;2;2;No;2.611721;1;4;2;2;3;2;2;2;2;Spanish;1;2;3;2;3;1;2;1;2;I have read and agree the conditions above.;2.611721;1;3;3;2;4;2;2;2;2;2.611721;1;4;4;3;2;2;2;1;2;1;2.611721;3;3;2;2;2;2;1;2;2.611721;2;3;2;2;3;2;2;3;2
1174554971;03/07/2017 10:11;2415102730;03/07/2017 09:56;false;coinworker;1.0;39203395;DEU;2;Munich;91.63.254.9;31-40;2.622570;1;1;1;1;1;1;1;1;1;2.622570;2;2;1;2;3;1;2;1;1;2.622570;4;4;3;1;2;2;1;4;3;5;5;5;5;5;5;5;5;5;2.622570;2;4;4;1;2;1;2;3;4;2.622570;3;2;1;1;1;1;1;1;2;2.622570;4;4;5;2;3;2;3;5;3;2.622570;1;1;1;1;1;1;1;1;1;2.622570;1;2;2;4;3;4;4;1;2;2.622570;4;3;3;4;4;4;4;1;4;Undergraduate level;2.622570;2;2;1;1;2;2;1;2;2;Male;2.622570;4;4;5;2;3;3;3;4;4;No;2.622570;4;4;2;1;1;1;1;3;3;german;2;3;3;1;1;1;1;3;2;I have read and agree the conditions above.;2.622570;1;1;1;4;3;4;4;1;2;2.622570;1;3;3;2;3;1;4;1;2;3;2.622570;4;5;2;2;2;2;4;3;2.622570;1;1;1;3;2;3;4;1;2
1174561795;03/07/2017 10:15;2415113550;03/07/2017 10:11;false;clixsense;1.0;42100962;ESP;31;;155.54.213.67;21-30;2.962602;3;3;2;3;2;2;2;3;3;2.962602;2;2;3;2;1;3;4;3;2;2.962602;1;4;3;2;4;2;3;3;2;3;3;2;2;2;3;3;3;2;2.962602;2;2;2;3;3;2;4;3;2;2.962602;2;4;2;3;3;3;3;2;3;2.962602;3;2;3;2;3;2;3;3;3;2.962602;2;2;3;2;2;2;3;2;3;2.962602;3;2;2;3;3;2;4;3;3;2.962602;3;3;2;3;2;3;2;2;3;High school;2.962602;2;3;3;2;3;2;2;4;2;Male;2.962602;2;2;3;2;2;2;3;2;2;No;2.962602;2;3;3;2;2;3;3;2;3;Spanish;1;2;2;2;3;3;2;2;2;I have read and agree the conditions above.;2.962602;2;2;3;2;3;3;2;2;2;2.962602;4;3;2;2;2;2;3;2;2;2;2.962602;3;2;3;2;3;4;3;2;2.962602;2;3;3;2;3;2;3;3;3
1174561795;03/07/2017 12:17;2415191579;03/07/2017 11:52;false;elite;1.0;32417589;ESP;56;Amposta;77.225.170.95;31-40;3.439361;2;2;4;1;2;1;1;4;2;3.439361;2;2;4;1;2;1;1;5;2;3.439361;4;4;3;3;3;3;3;3;4;5;5;5;5;5;5;5;5;5;3.439361;2;3;2;2;3;1;2;1;3;3.439361;2;3;4;1;2;1;1;4;3;3.439361;3;3;2;3;3;3;3;2;3;3.439361;2;2;4;1;2;1;1;4;2;3.439361;2;2;2;3;3;3;3;2;2;3.439361;4;3;4;4;4;4;3;4;3;High school;3.439361;2;2;3;1;2;2;2;3;2;Male;3.439361;4;3;2;2;3;3;3;1;3;No;3.439361;3;4;3;2;2;2;1;4;3;spanish;3;3;1;1;2;2;1;1;3;I have read and agree the conditions above.;3.439361;3;3;2;4;4;4;5;2;3;3.439361;3;3;2;4;4;4;4;3;3;2;3.439361;2;1;2;2;2;3;1;2;3.439361;3;3;4;4;4;4;3;4;3
1174568130;03/07/2017 10:42;2415148186;03/07/2017 10:24;false;clixsense;1.0;37348026;ESP;54;Ciudad Real;79.144.201.229;41-50;3.418561;2;1;3;1;3;4;1;3;1;3.418561;1;1;3;1;3;4;1;4;1;3.418561;4;5;1;3;2;2;1;2;4;5;5;5;5;5;5;5;5;5;3.418561;3;4;2;4;4;3;2;2;5;3.418561;3;3;2;2;2;3;1;3;3;3.418561;5;4;3;3;4;3;4;4;5;3.418561;3;1;2;2;3;3;1;3;1;3.418561;3;3;3;3;3;3;3;3;3;3.418561;3;2;5;3;4;4;5;4;1;Master leve;3.418561;4;4;2;2;2;4;2;4;4;Male;3.418561;5;5;3;2;4;3;1;4;5;No;3.418561;3;4;2;3;2;2;1;4;4;Spain;5;5;2;1;1;2;1;2;4;I have read and agree the conditions above.;3.418561;1;1;3;4;4;3;4;3;1;3.418561;2;3;3;4;4;4;5;2;3;3;3.418561;4;2;3;2;2;2;3;5;3.418561;2;2;4;2;4;4;5;4;1
1174568130;03/07/2017 10:43;2415148915;03/07/2017 10:25;false;neodev;1.0;13154076;FRA;A3;Saint-gervais-la-forÌ»t;90.21.200.249;51-60;3.088214;2;1;2;1;5;4;1;4;2;3.088214;4;1;2;1;5;4;1;4;4;3.088214;4;3;4;1;4;4;1;4;4;5;5;5;5;5;5;5;5;5;3.088214;1;3;3;1;2;4;1;2;4;3.088214;1;3;4;1;4;3;1;4;4;3.088214;3;4;3;3;2;3;4;3;3;3.088214;3;1;2;1;3;3;1;4;3;3.088214;3;1;1;3;1;1;3;1;1;3.088214;3;1;1;4;1;2;5;1;1;Undergraduate level;3.088214;3;3;3;3;3;3;3;4;3;Female;3.088214;4;4;4;3;3;4;3;4;4;No;3.088214;3;3;3;3;2;3;3;3;3;franÌ¤aise;3;3;5;1;2;4;3;4;3;I have read and agree the conditions above.;3.088214;1;1;1;4;1;1;5;1;1;3.088214;2;3;1;5;1;1;4;1;1;3;3.088214;3;3;3;3;3;3;3;3;3.088214;1;1;1;4;1;2;5;1;1
